"plot","pont","peso.seco","peso.saco","peso.flor_g","peso.fruto_g","peso.galho_g","peso.folha_g","data","obs","date2","years","months","days","weight_g"
"J21","A",20.84,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",13.36
"J21","B",42.22,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",34.74
"J21","C",25.68,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",18.2
"J21","D",16.54,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",9.06
"J22","A",19.53,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",12.05
"J22","B",16.5,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",9.02
"J22","C",24.7,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",17.22
"J22","D",23.67,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",16.19
"J26","A",16.69,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",9.21
"J26","B",19.98,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",12.5
"J26","C",17.48,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",10
"J26","D",25.17,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",17.69
"J27","A",17.2,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",9.72
"J27","B",18.71,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",11.23
"J27","C",22.39,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",14.91
"J27","D",29.33,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",21.85
"K21","A",23.41,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",15.93
"K21","B",25.94,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",18.46
"K21","C",25.67,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",18.19
"K21","D",31.2,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",23.72
"K22","A",25.67,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",18.19
"K22","B",32.83,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",25.35
"K22","C",27.96,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",20.48
"K22","D",16.93,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",9.45
"K26","A",18.4,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",10.92
"K26","B",15.62,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",8.14
"K26","C",15.29,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",7.81
"K26","D",16.99,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",9.51
"K27","A",18.42,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",10.94
"K27","B",21.53,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",14.05
"K27","C",16.01,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",8.53
"K27","D",29.93,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",22.45
"E21","A",28.97,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",21.32
"E21","B",31.47,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",23.82
"E21","C",37.6,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",29.95
"E21","D",49.33,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",41.68
"E22","A",17.86,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",10.21
"E22","B",28.55,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",20.9
"E22","C",24.36,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",16.71
"E22","D",34.81,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",27.16
"E26","A",41.02,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",33.37
"E26","B",41.55,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",33.9
"E26","C",23.35,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",15.7
"E26","D",44.04,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",36.39
"E27","A",29.46,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",21.81
"E27","B",24.07,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",16.42
"E27","C",27.3,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",19.65
"E27","D",42.06,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",34.41
"F21","A",33.8,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",26.15
"F21","B",35.89,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",28.24
"F21","C",24.6,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",16.95
"F21","D",28.55,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",20.9
"F22","A",39.77,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",32.12
"F22","B",45.91,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",38.26
"F22","C",26.93,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",19.28
"F22","D",33.16,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",25.51
"F26","A",32.46,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",24.81
"F26","B",16.28,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",8.63
"F26","C",41.32,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",33.67
"F26","D",17.82,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",10.17
"F27","A",0,0,,,,,"01/10/2011",,2011-10-01,"2011","10","01",0
"F27","B",66.9,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",59.25
"F27","C",20.72,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",13.07
"F27","D",26.25,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",18.6
"J21","A",33.7,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",26.05
"J21","B",37.41,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",29.76
"J21","C",29.11,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",21.46
"J21","D",27.66,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",20.01
"J22","A",23.54,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",15.89
"J22","B",24.95,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",17.3
"J22","C",29.14,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",21.49
"J22","D",29.95,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",22.3
"J26","A",25.68,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",18.03
"J26","B",25.79,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",18.14
"J26","C",27.84,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",20.19
"J26","D",34.71,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",27.06
"J27","A",31.79,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",24.14
"J27","B",33.84,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",26.19
"J27","C",34.88,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",27.23
"J27","D",26.55,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",18.9
