Name,#,Sample_ID,Level,Species,Organ,Tree_ID,id.ext.ss,id.ext.starch,Daum,Weight_mg,Box_HPLC,Box_14C,Results_file_14C,Box_d13C,Glucose,Sucrose,Fructose,Starch,Total_sugars,Total_NSC,TOC_sugars_extraction,Bulk_d13C_permil,Water_soluble_d13C_permil,Starch_d13C_permil,Lipids_d13C_permil,Respired_d13C_permil,Respired_D14C,Sugars_D14C_permil,Starch_D14C_permil,Cellulose_D14C_permil,d15N_bulk,Cellulose_mg,N,C%,N%,C/N,CO2_efflux_flasks,CO2_efflux_Cozir,CO2_norm,Elevation,Shoot_root
B.Hilman,31,L.Larix.B.13,Low,Larix decidua,Branch wood,13,L.Larix.B.13_A,L.Larix.B.13_E,,50.19,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,0.3,1.8,0.1,0.7,2.3,3.0,4.071,-29.53,-30.88,-29.66,,-31.12,5.68,12,21.95,13.1,-0.50694232239106,,0.182619069040736,49.4404144287109,0.329047977924347,150.25,1.2622947148861,0.208499900974145,1.20396927234637,2000,Shoot
B.Hilman,32,L.Larix.B.14,Low,Larix decidua,Branch wood,14,L.Larix.B.14_A,L.Larix.B.14_E,,51.21,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,1.3,2.0,1.0,0.5,4.3,4.8,9.007,-28.61,-30.34,-30.29,,-29.89,10.81,7.4,9.5,19.8,1.13616356373167,,0.407583931586884,49.4481925964355,0.377588331699371,130.96,0,0.0708912722169627,0,2000,Shoot
B.Hilman,33,L.Larix.B.15,Low,Larix decidua,Branch wood,15,L.Larix.B.15_A,L.Larix.B.15_E,,51.27,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,1.0,4.9,1.2,0.8,7.0,7.8,8.975,-27.48,-29.78,-28.63,,-29.01,-5.50,13.4,12.4,11.4,0.696547847971871,,0.374211403003532,49.1280403137207,0.345471054315567,142.21,0,0.109010057804699,0,2000,Shoot
B.Hilman,34,D.Larix.B.16,Valley,Larix decidua,Branch wood,16,D.Larix.B.16_A,D.Larix.B.16_E,,51.26,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,0.5,5.6,0.6,1.1,6.7,7.8,9.942,-28.39,-28.39,-27.47,,-28.06,-1.17,0.7,3.35,4,2.07260301291936,,0.605930324500414,49.9808349609375,0.579824149608612,86.20,0,0.288432605406774,0,1560,Shoot
B.Hilman,35,D.Larix.B.17,Valley,Larix decidua,Branch wood,17,D.Larix.B.17_A,D.Larix.B.17_E,,50.46,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,0.3,3.3,0.2,0.7,3.9,4.6,5.196,-29.49,-30.26,-29.40,,-31.47,0.76,1.2,0.0999999999999999,13.9,2.57256679364456,,0.816912511268198,49.4587478637695,0.746534526348114,66.25,0,0.347710325024958,0,1560,Shoot
B.Hilman,36,D.Larix.B.18,Valley,Larix decidua,Branch wood,18,D.Larix.B.18_A,D.Larix.B.18_E,,50.34,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,0.6,6.2,0.9,1.2,7.7,8.9,10.877,-28.49,-28.53,-27.81,,-29.38,1.09,4.8,9.5,4.1,2.81197428482778,,0.987891635750514,49.4203033447266,0.920597970485687,53.68,0,0.447829799473356,0,1560,Shoot
B.Hilman,145,H.Mugo.R.1.1_2,High,Pinus mugo,Roots 1-2 mm,1,H.Mugo.R.1.1_2_A,H.Mugo.R.1.1_2_E,,50.16,Box_6_05.06.20,Box5_09.06.2020_d14C_sugar&starch_Stilberg,,Box7_09.06.20_d13C_starch&sugar_Stilberg,0.8,1.5,1.0,2.9,3.3,6.2,7.233,-27.16,-27.37,-25.58,-29.68,-27.88,5.85,0.8,,11,-4.09599337687406,8.54,0.461905356976025,47.6750450134277,1.02231192588806,46.63,0.980136924137048,0.138596887808519,0.993362900048914,2200,Root
B.Hilman,146,H.Mugo.R.2.1_2,High,Pinus mugo,Roots 1-2 mm,2,H.Mugo.R.2.1_2_A,H.Mugo.R.2.1_2_E,,50.7,Box_6_05.06.20,Box5_09.06.2020_d14C_sugar&starch_Stilberg,,Box7_09.06.20_d13C_starch&sugar_Stilberg,0.4,1.2,0.6,1.3,2.2,3.4,6.259,-27.29,-28.48,-25.15,-29.50,-27.42,3.31,29.5,,38.9,-4.27631129938593,7.76,0.561225112580396,47.7068519592285,0.460755050182343,103.54,1.47502103647938,0.189253202730426,1.51748857741319,2200,Root
B.Hilman,147,H.Mugo.R.3.1_2,High,Pinus mugo,Roots 1-2 mm,3,H.Mugo.R.3.1_2_A,H.Mugo.R.3.1_2_E,,51.13,Box_6_05.06.20,Box5_09.06.2020_d14C_sugar&starch_Stilberg,,Box7_09.06.20_d13C_starch&sugar_Stilberg,0.4,1.2,0.6,,2.1,2.1,4.515,-28.59,-29.60,,-30.62,-28.87,-9.04,46.1,,69.4,-2.75248154247266,8.04,0.538664140314133,49.059642791748,0.513524234294891,95.54,0.968833139280927,0.150697671366993,0.962741303133827,2200,Root
B.Hilman,148,H.Mugo.R.4.1_2,High,Pinus mugo,Roots 1-2 mm,4,H.Mugo.R.4.1_2_A,H.Mugo.R.4.1_2_E,,50.05,Box_6_05.06.20,Box5_09.06.2020_d14C_sugar&starch_Stilberg,,Box7_09.06.20_d13C_starch&sugar_Stilberg,0.6,1.5,1.0,0.5,3.1,3.6,6.751,-26.96,-27.38,-24.86,-30.74,-27.62,3.57,21.4,,19.6,-4.12138025105093,7.23,0.599209522944473,48.1888046264648,0.596037745475769,80.85,1.50855597616322,0.207372901047167,1.58163690682036,2200,Root
B.Hilman,149,H.Mugo.R.5.1_2,High,Pinus mugo,Roots 1-2 mm,5,H.Mugo.R.5.1_2_A,H.Mugo.R.5.1_2_E,,50.33,Box_6_05.06.20,Box5_09.06.2020_d14C_sugar&starch_Stilberg,,Box7_09.06.20_d13C_starch&sugar_Stilberg,0.4,0.8,0.5,1.4,1.8,3.2,4.955,-27.07,-28.34,-25.82,-30.24,-29.12,21.90,45,,58.2,-2.40246635149704,8.86,0.397254281078005,47.9646301269531,0.393846064805985,121.79,0.952520703363101,0.125857760305135,0.99082181070255,2200,Root
