"linhas","xdist","transecto","ydist","FILE","Time","AB12","Mask","Model","Comp","LAI","SEL","DIFN","MTA","SEM","SMP","Prompt1","Prompt2","Rspns1","file_name","ano","mes","dia","hora","minuto","status"
1,0,"I",400,14,"21/09/2017 06:29"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.26,"0,00","0,045",34,10,2,"  LINHA","  PONTO","1","Cruzada_Ar1_Linha_1_20170921AB.TXT","2017","09","21","01"," 0","bom"
1,0,"G",300,12,"21/09/2017 06:27"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",2.73,"0,02","0,148",51,17,2,"  LINHA","  PONTO","1","Cruzada_Ar1_Linha_1_20170921AB.TXT","2017","09","21","01"," 0","bom"
1,0,"S",900,22,"18/12/2017 06:00"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.98,"0","0.076",73,32,2,"  LINHA","  PONTO","1","LAI_ABC_dezembro2012_1e3.txt","2012","12","12","6","0","bom"
1,0,"R",850,21,"18/12/2017 05:59"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.89,"0","0.084",86,43,2,"  LINHA","  PONTO","1","LAI_ABC_dezembro2012_1e3.txt","2012","12","12","5","59","bom"
1,0,"J",450,13,"17 nov 06:09:34"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.260604,"0,02","0,008",90,25,2,"  LINHA","  PONTO","1","Cruzada_Ar1_Linha_1e3_20161117CD.txt","2016","11","17","06","09","corr"
1,0,"B",50,5,"05/07/2010 06:35"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",2.91,"0,04","0,138",65,6,2,"  LINHA","  PONTO","1","LAI_ABC_maio2010_1a2.txt","2010","5","7","6","35","bom"
1,0,"Q",800,20,"04/09/2017 06:33"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",3.99,"0","0.062",59,9,2,"  LINHA","  PONTO","1","LAI_ABC_setembro2012_1a2.txt","2012","9","9","6","33","bom"
1,0,"I",400,35,"06 out 06:50:20"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.36,"0,01","0,056",64,4,2,"  LINHA","  PONTO","1","Cruzada_Ar1_linha_1e3_20151006AB.txt","2015","10","06","06","50","bom"
1,0,"I",400,12,"08/10/2013 06:28"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",3.05,"0","0.114",43,5,2,"  LINHA","  PONTO","1","LAI_ABC_outubro_20131008.txt","2013","10","10","6","28","bom"
1,0,"A",0,2,"7/14/2006 07:01"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.34,"0","0.049",60,7,2,"LINHA  ","PONTO  ","1","LAI_ABC_julho2006_1a4.txt","2006","7","14","7","1","bom"
